"CountryYear","Country","FullYear","StartYear","Name","API_ID","Alpha2","Alpha3","ISONum","WorldBankID","EverMarried","Survey","BR","Couples","PR","Strata","mean","se","l_ci","u_ci"
"Namibia 2000","Namibia","2000",2000,"Namibia","NM2000DHS","NA","NAM",516,"NA",NA,"NMIR41FL","","NMCR41FL","NMPR41FL","v023",0.023,0.00385809106697453,0.015886438004935,0.0310878326595268
"Namibia 1992","Namibia","1992",1992,"Namibia","NM1992DHS","NA","NAM",516,"NA",NA,"NMIR21FL","","","NMPR21FL","v024 v025",0.075,0.00769572132623675,0.0595206056742814,0.0899171897793141
"Nepal 2016","Nepal","2016",2016,"Nepal","NP2016DHS","NP","NPL",524,"NP",NA,"NPIR7HFL","NPBR7HFL","NPCR7HFL","NPPR7HFL","v022",0.315,0.00627327168863215,0.303033800477289,0.327705495060554
"Nepal 2011","Nepal","2011",2011,"Nepal","NP2011DHS","NP","NPL",524,"NP",NA,"NPIR60FL","","NPCR61FL","NPPR61FL","v023 v025",0.283,0.00739522708926696,0.268749933593456,0.297866367620307
"Nepal 2006","Nepal","2006",2006,"Nepal","NP2006DHS","NP","NPL",524,"NP",NA,"NPIR51FL","","NPCR51FL","NPPR51FL","v023 v025",0.288,0.0104670204269929,0.267235378262224,0.308467374013844
"Nepal 2001","Nepal","2001",2001,"Nepal","NP2001DHS","NP","NPL",524,"NP",1,"NPIR41FL","","NPCR41FL","NPPR41FL","v023 v025",0.289,0.00683704117350252,0.275282977202562,0.302220666859433
"Nepal 1996","Nepal","1996",1996,"Nepal","NP1996DHS","NP","NPL",524,"NP",1,"NPIR31FL","","","NPPR31FL","secozone v024",0.301,0.007999987199492,0.284868866308967,0.316380790182546
"Nicaragua 1998","Nicaragua","1998",1998,"Nicaragua","NC1998DHS","NI","NIC",558,"NI",NA,"NCIR31FL","","NCCR31FL","NCPR31FL","v023 v025",0.109,0.00450371459710231,0.0997785453580219,0.117470021040739
"Niger 2012","Niger","2012",2012,"Niger","NI2012DHS","NE","NER",562,"NE",NA,"NIIR61FL","NIBR61FL","NICR61FL","NIPR61FL","v022",0.083,0.00571645203839608,0.0716397073992579,0.0941072902560566
"Niger 2006","Niger","2006",2006,"Niger","NI2006DHS","NE","NER",562,"NE",NA,"NIIR51FL","","NICR51FL","NIPR51FL","v023 v025",0.157,0.00878682417489545,0.13987944018201,0.17444842261005
"Niger 1998","Niger","1998",1998,"Niger","NI1998DHS","NE","NER",562,"NE",NA,"NIIR31FL","","NICR31FL","NIPR31FL","v024 v025",0.158,0.00879371308556874,0.141052877820116,0.175683570188751
"Niger 1992","Niger","1992",1992,"Niger","NI1992DHS","NE","NER",562,"NE",NA,"NIIR22FL","","NICR21FL","NIPR22FL","v024 v025",0.488,0.0213397556339018,0.446040389442054,0.530139065210126
"Nigeria 2018","Nigeria","2018",2018,"Nigeria","NG2018DHS","NG","NGA",566,"NG",NA,"NGIR7AFL","NGBR7AFL","NGCR7AFL","NGPR7AFL","v022",0.043,0.00187731533190644,0.0395377668630783,0.0469034872578392
"Nigeria 2013","Nigeria","2013",2013,"Nigeria","NG2013DHS","NG","NGA",566,"NG",NA,"NGIR6AFL","NGBR6AFL","NGCR6AFL","NGPR6AFL","v022",0.052,0.00221766111877778,0.0476544841331709,0.0563603591561748
"Nigeria 2008","Nigeria","2008",2008,"Nigeria","NG2008DHS","NG","NGA",566,"NG",NA,"NGIR53FL","NGBR53FL","NGCR53FL","NGPR53FL","v022",0.057,0.00238354565720527,0.0524073759585803,0.0617636600472118
"Nigeria 2003","Nigeria","2003",2003,"Nigeria","NG2003DHS","NG","NGA",566,"NG",NA,"NGIR4BFL","","NGCR4AFL","NGPR4CFL","v023",0.08,0.00706732394461469,0.0662177273306712,0.0940172581270081
