"CountryYear","Country","FullYear","StartYear","Name","API_ID","Alpha2","Alpha3","ISONum","WorldBankID","EverMarried","Survey","BR","Couples","PR","Strata","mean","se","l_ci","u_ci"
"Tajikistan 2017","Tajikistan","2017",2017,"Tajikistan","TJ2017DHS","TJ","TJK",762,"TJ",NA,"TJIR71FL","TJBR70FL","","TJPR71FL","v022",0.485,0.00942743522710765,0.466210210751021,0.503290787340555
"Tajikistan 2012","Tajikistan","2012",2012,"Tajikistan","TJ2012DHS","TJ","TJK",762,"TJ",NA,"TJIR61FL","TJBR61FL","","TJPR61FL","v022",0.466,0.0105016511984148,0.445623633054708,0.486933850216089
"Tanzania 2015-16","Tanzania","2015-16",2015,"Tanzania, United Republic of","TZ2015DHS","TZ","TZA",834,"TZ",NA,"TZIR7BFL","TZBR7BFL","TZCR7BFL","TZPR7BFL","v022",0.093,0.00473713622430775,0.0834943275749494,0.102104588283229
"Tanzania 2010 ","Tanzania","2010",2010,"Tanzania, United Republic of","TZ2010DHS","TZ","TZA",834,"TZ",NA,"TZIR63FL","TZBR63FL","TZCR63FL","TZPR63FL","v022",0.097,0.00852363829555564,0.0800008861900095,0.113508581719159
"Tanzania 2004-05","Tanzania","2004-05",2004,"Tanzania, United Republic of","TZ2004DHS","TZ","TZA",834,"TZ",NA,"TZIR4IFL","TZBR4IFL","TZCR4IFL","TZPR4IFL","v022",0.087,0.00799394319279154,0.0709757959433209,0.102461500670073
"Tanzania 1999","Tanzania","1999",1999,"Tanzania, United Republic of","TZ1999DHS","TZ","TZA",834,"TZ",NA,"TZIR41FL","","TZCR41FL","TZPR41FL","v024 v025",0.123,0.011965637035859,0.0992966899666235,0.146572636113635
"Tanzania 1996","Tanzania","1996",1996,"Tanzania, United Republic of","TZ1996DHS","TZ","TZA",834,"TZ",NA,"TZIR3AFL","","TZCR3AFL","TZPR3AFL","v024 v025",0.067,0.00483780270362078,0.0573615779131175,0.0763941769403926
"Tanzania 1991-92","Tanzania","1991-92",1991,"Tanzania, United Republic of","TZ1992DHS","TZ","TZA",834,"TZ",NA,"TZIR21FL","","TZCR21FL","TZPR21FL","v023",0.116,0.00925999103222606,0.0975905915798192,0.134016505298173
"Timor-Leste 2016","Timor-Leste","2016",2016,"Timor-Leste","TL2016DHS","TL","TLS",626,"TL",NA,"TLIR71FL","TLBR71FL","TLCR71FL","TLPR71FL","v022",0.118,0.00486284069110895,0.10887342607047,0.12798934155437
"Timor-Leste 2009-10","Timor-Leste","2009-10",2009,"Timor-Leste","TL2009DHS","TL","TLS",626,"TL",NA,"TLIR61FL","","TLCR61FL","TLPR61FL","v022",0.112,0.00408229933828947,0.103483575215105,0.119531168399353
