"CountryYear","Country","FullYear","StartYear","Name","API_ID","Alpha2","Alpha3","ISONum","WorldBankID","EverMarried","Survey","BR","Couples","PR","Strata","v013","Live_MIL","ci_l","ci_u"
"Bangladesh 2011","Bangladesh","2011",2011,"Bangladesh","BD2011DHS","BD","BGD",50,"BD",1,"BDIR61FL","","BDCR61FL","BDPR61FL","v022",2,0.309729447073095,0.290658050746913,0.329470979612746
"Bangladesh 2011","Bangladesh","2011",2011,"Bangladesh","BD2011DHS","BD","BGD",50,"BD",1,"BDIR61FL","","BDCR61FL","BDPR61FL","v022",3,0.250253165254572,0.232745765812454,0.268616433894
"Bangladesh 2011","Bangladesh","2011",2011,"Bangladesh","BD2011DHS","BD","BGD",50,"BD",1,"BDIR61FL","","BDCR61FL","BDPR61FL","v022",4,0.178572284772931,0.163423876552736,0.194797897111737
"Bangladesh 2011","Bangladesh","2011",2011,"Bangladesh","BD2011DHS","BD","BGD",50,"BD",1,"BDIR61FL","","BDCR61FL","BDPR61FL","v022",5,0.126547366404407,0.11041947098149,0.144647872960238
"Bangladesh 2011","Bangladesh","2011",2011,"Bangladesh","BD2011DHS","BD","BGD",50,"BD",1,"BDIR61FL","","BDCR61FL","BDPR61FL","v022",6,0.0784578111742974,0.066230006254846,0.0927190244713391
"Bangladesh 2011","Bangladesh","2011",2011,"Bangladesh","BD2011DHS","BD","BGD",50,"BD",1,"BDIR61FL","","BDCR61FL","BDPR61FL","v022",7,0.0656451999762019,0.0532158208695001,0.0807301146070869
"Bangladesh 2007 ","Bangladesh","2007",2007,"Bangladesh","BD2007DHS","BD","BGD",50,"BD",1,"BDIR51FL","","BDCR51FL","BDPR51FL","v023",1,0.423260130651935,0.393628869361166,0.453453903218254
"Bangladesh 2007 ","Bangladesh","2007",2007,"Bangladesh","BD2007DHS","BD","BGD",50,"BD",1,"BDIR51FL","","BDCR51FL","BDPR51FL","v023",2,0.298116800693763,0.273109174839294,0.324392381006079
"Bangladesh 2007 ","Bangladesh","2007",2007,"Bangladesh","BD2007DHS","BD","BGD",50,"BD",1,"BDIR51FL","","BDCR51FL","BDPR51FL","v023",3,0.21711887606379,0.194767655322554,0.241266555383326
"Bangladesh 2007 ","Bangladesh","2007",2007,"Bangladesh","BD2007DHS","BD","BGD",50,"BD",1,"BDIR51FL","","BDCR51FL","BDPR51FL","v023",4,0.139476111967298,0.119915337834744,0.16164163117419
"Bangladesh 2007 ","Bangladesh","2007",2007,"Bangladesh","BD2007DHS","BD","BGD",50,"BD",1,"BDIR51FL","","BDCR51FL","BDPR51FL","v023",5,0.0971724079480299,0.080659463875151,0.11663705345648
"Bangladesh 2007 ","Bangladesh","2007",2007,"Bangladesh","BD2007DHS","BD","BGD",50,"BD",1,"BDIR51FL","","BDCR51FL","BDPR51FL","v023",6,0.089110918063873,0.0708844198786513,0.111461765255226
